estimate,submission
0.90733802909998429,submissions/submission30.csv
0.90733802909998429,submissions/submission31.csv
0.89183153148589278,submissions/submission26.csv
0.90131619457067313,submissions/submission27.csv
0.90131837596475917,submissions/submission28.csv
0.90748218972484218,submissions/submission29.csv
0.90748150754204315,submissions/submission30.csv
0.90746671236086418,submissions/submission31.csv
0.90745203504243421,submissions/submission32.csv
0.90747416429642103,submissions/submission33.csv
0.90750909331912666,submissions/submission34.csv
0.90752581299856072,submissions/submission35.csv
0.90749989352873139,submissions/submission36.csv
0.90779669783668693,submissions/submission37.csv
0.90749509371324577,submissions/submission38.csv
0.90749989352873139,submissions/submission39.csv
0.90753296840836351,submissions/submission40.csv
0.9074752008353052,submissions/submission41.csv
0.9075426345847144,submissions/submission42.csv
